Level,Leniency,Density,PD,PV
weighted_w1_0.5_w2_0.5_level_71_generic_separated.json,0.1375,1.915,0.96,0.25
weighted_w1_0.5_w2_0.5_level_72_generic_separated.json,0.1675,2.005,0.96,0.21
weighted_w1_0.5_w2_0.5_level_73_generic_separated.json,0.1025,2.94,0.945,0.27
weighted_w1_0.5_w2_0.5_level_74_generic_separated.json,0.1425,1.87,0.965,0.205
weighted_w1_0.5_w2_0.5_level_75_generic_separated.json,0.1475,2.48,0.95,0.23
weighted_w1_0.5_w2_0.5_level_76_generic_separated.json,0.14,2.685,0.965,0.34
weighted_w1_0.5_w2_0.5_level_77_generic_separated.json,0.145,1.55,0.965,0.22
weighted_w1_0.5_w2_0.5_level_78_generic_separated.json,0.13,2.53,0.96,0.21
weighted_w1_0.5_w2_0.5_level_79_generic_separated.json,0.17,2.555,0.96,0.24
weighted_w1_0.5_w2_0.5_level_7_generic_separated.json,0.1225,2.125,0.94,0.2
weighted_w1_0.5_w2_0.5_level_80_generic_separated.json,0.125,2.25,0.97,0.215
weighted_w1_0.5_w2_0.5_level_81_generic_separated.json,0.1675,2.77,0.975,0.3
weighted_w1_0.5_w2_0.5_level_82_generic_separated.json,0.165,3.04,0.95,0.31
weighted_w1_0.5_w2_0.5_level_83_generic_separated.json,0.08,1.655,0.985,0.145
weighted_w1_0.5_w2_0.5_level_84_generic_separated.json,0.09,1.86,0.94,0.16
weighted_w1_0.5_w2_0.5_level_85_generic_separated.json,0.12,1.935,0.985,0.25
weighted_w1_0.5_w2_0.5_level_86_generic_separated.json,0.1475,1.83,0.965,0.23
weighted_w1_0.5_w2_0.5_level_87_generic_separated.json,0.0925,2.37,0.95,0.19
weighted_w1_0.5_w2_0.5_level_88_generic_separated.json,0.1175,1.61,0.97,0.21
weighted_w1_0.5_w2_0.5_level_89_generic_separated.json,0.14,1.715,0.96,0.25
weighted_w1_0.5_w2_0.5_level_8_generic_separated.json,0.1325,1.85,0.98,0.14
weighted_w1_0.5_w2_0.5_level_90_generic_separated.json,0.1325,2.01,0.96,0.19
weighted_w1_0.5_w2_0.5_level_91_generic_separated.json,0.1225,1.92,0.985,0.205
weighted_w1_0.5_w2_0.5_level_92_generic_separated.json,0.1475,1.78,0.985,0.23
weighted_w1_0.5_w2_0.5_level_93_generic_separated.json,0.155,2.045,0.955,0.23
weighted_w1_0.5_w2_0.5_level_94_generic_separated.json,0.1825,2.15,0.99,0.175
weighted_w1_0.5_w2_0.5_level_95_generic_separated.json,0.13,1.5,0.97,0.175
weighted_w1_0.5_w2_0.5_level_96_generic_separated.json,0.14,1.435,0.97,0.155
weighted_w1_0.5_w2_0.5_level_97_generic_separated.json,0.145,2.525,0.97,0.285
weighted_w1_0.5_w2_0.5_level_98_generic_separated.json,0.155,2.1,0.965,0.23
weighted_w1_0.5_w2_0.5_level_99_generic_separated.json,0.1225,2.17,0.995,0.215
weighted_w1_0.5_w2_0.5_level_9_generic_separated.json,0.12,2.345,0.955,0.225
