Level,Leniency,Density,PD,PV
weighted_w1_0.1_w2_0.9_level_0_generic.json,0.1325,3.885,0.93,0.21
weighted_w1_0.1_w2_0.9_level_1_generic.json,0.0375,5.875,0.975,0.28
weighted_w1_0.1_w2_0.9_level_2_generic.json,0.08,5.335,0.92,0.33
weighted_w1_0.1_w2_0.9_level_3_generic.json,0.09,4.23,0.93,0.29
weighted_w1_0.1_w2_0.9_level_4_generic.json,0.0725,4.45,0.895,0.31
weighted_w1_0.1_w2_0.9_level_5_generic.json,0.09,5.28,0.925,0.265
weighted_w1_0.1_w2_0.9_level_6_generic.json,0.0525,4.74,0.91,0.325
weighted_w1_0.1_w2_0.9_level_7_generic.json,0.0825,4.335,0.85,0.28
weighted_w1_0.1_w2_0.9_level_8_generic.json,0.09,4.915,0.95,0.32
weighted_w1_0.1_w2_0.9_level_9_generic.json,0.0775,4.265,0.915,0.29
,,,,
weighted_w1_0.2_w2_0.8_level_0_generic.json,0.08,3.385,0.92,0.285
weighted_w1_0.2_w2_0.8_level_1_generic.json,0.12,1.8,0.9,0.205
weighted_w1_0.2_w2_0.8_level_2_generic.json,0.0725,3.28,0.905,0.21
weighted_w1_0.2_w2_0.8_level_3_generic.json,0.1025,2.335,0.945,0.255
weighted_w1_0.2_w2_0.8_level_4_generic.json,0.125,2.515,0.92,0.21
weighted_w1_0.2_w2_0.8_level_5_generic.json,0.0875,2.33,0.95,0.2
weighted_w1_0.2_w2_0.8_level_6_generic.json,0.095,2.885,0.96,0.22
weighted_w1_0.2_w2_0.8_level_7_generic.json,0.1225,2.375,0.885,0.2
weighted_w1_0.2_w2_0.8_level_8_generic.json,0.0875,3.625,0.9,0.295
weighted_w1_0.2_w2_0.8_level_9_generic.json,0.11,2.63,0.915,0.195
,,,,
weighted_w1_0.3_w2_0.7_level_0_generic.json,0.06,4.82,0.89,0.22
weighted_w1_0.3_w2_0.7_level_1_generic.json,0.0525,5.04,0.885,0.2
weighted_w1_0.3_w2_0.7_level_2_generic.json,0.1,3.86,0.95,0.205
weighted_w1_0.3_w2_0.7_level_3_generic.json,0.1275,3.21,0.97,0.18
weighted_w1_0.3_w2_0.7_level_4_generic.json,0.07,2.91,0.965,0.225
weighted_w1_0.3_w2_0.7_level_5_generic.json,0.0775,4.245,0.955,0.175
weighted_w1_0.3_w2_0.7_level_6_generic.json,0.1025,3.875,0.975,0.24
weighted_w1_0.3_w2_0.7_level_7_generic.json,0.0575,4.99,0.92,0.235
weighted_w1_0.3_w2_0.7_level_8_generic.json,0.0875,4.37,0.95,0.27
weighted_w1_0.3_w2_0.7_level_9_generic.json,0.0575,4.365,0.975,0.255
,,,,
weighted_w1_0.4_w2_0.6_level_0_generic.json,0.09,2.565,0.98,0.23
weighted_w1_0.4_w2_0.6_level_1_generic.json,0.11,2.505,0.89,0.22
weighted_w1_0.4_w2_0.6_level_2_generic.json,0.1025,2.85,0.935,0.235
weighted_w1_0.4_w2_0.6_level_3_generic.json,0.0875,3.025,0.96,0.265
weighted_w1_0.4_w2_0.6_level_4_generic.json,0.115,1.61,0.97,0.23
weighted_w1_0.4_w2_0.6_level_5_generic.json,0.125,2.24,0.96,0.295
weighted_w1_0.4_w2_0.6_level_6_generic.json,0.115,2,0.975,0.225
weighted_w1_0.4_w2_0.6_level_7_generic.json,0.09,2.385,0.975,0.25
weighted_w1_0.4_w2_0.6_level_8_generic.json,0.0825,2.605,0.97,0.26
weighted_w1_0.4_w2_0.6_level_9_generic.json,0.1025,2.025,0.98,0.22
,,,,
weighted_w1_0.5_w2_0.5_level_0_generic.json,0.095,2.595,0.975,0.215
weighted_w1_0.5_w2_0.5_level_1_generic.json,0.07,4.425,0.95,0.3
weighted_w1_0.5_w2_0.5_level_2_generic.json,0.085,2.945,0.925,0.235
weighted_w1_0.5_w2_0.5_level_3_generic.json,0.0975,1.85,0.98,0.165
weighted_w1_0.5_w2_0.5_level_4_generic.json,0.07,2.855,0.91,0.23
weighted_w1_0.5_w2_0.5_level_5_generic.json,0.1025,2.285,0.915,0.275
weighted_w1_0.5_w2_0.5_level_6_generic.json,0.09,2.03,0.92,0.245
weighted_w1_0.5_w2_0.5_level_7_generic.json,0.09,2.165,0.94,0.25
weighted_w1_0.5_w2_0.5_level_8_generic.json,0.11,1.89,0.95,0.21
weighted_w1_0.5_w2_0.5_level_9_generic.json,0.0975,3.185,0.915,0.23
,,,,
weighted_w1_0.6_w2_0.4_level_0_generic.json,0.14,1.965,0.955,0.225
weighted_w1_0.6_w2_0.4_level_1_generic.json,0.1025,1.94,0.945,0.28
weighted_w1_0.6_w2_0.4_level_2_generic.json,0.095,1.315,0.99,0.18
weighted_w1_0.6_w2_0.4_level_3_generic.json,0.045,2.605,0.905,0.23
weighted_w1_0.6_w2_0.4_level_4_generic.json,0.085,2.525,0.96,0.235
weighted_w1_0.6_w2_0.4_level_5_generic.json,0.0825,2.195,0.92,0.235
weighted_w1_0.6_w2_0.4_level_6_generic.json,0.11,1.835,0.975,0.21
weighted_w1_0.6_w2_0.4_level_7_generic.json,0.1075,2.195,0.945,0.25
weighted_w1_0.6_w2_0.4_level_8_generic.json,0.0825,2.09,0.945,0.21
weighted_w1_0.6_w2_0.4_level_9_generic.json,0.0625,2.445,0.945,0.235
,,,,
weighted_w1_0.7_w2_0.3_level_0_generic.json,0.075,4.1,0.955,0.24
weighted_w1_0.7_w2_0.3_level_1_generic.json,0.18,3.04,0.95,0.205
weighted_w1_0.7_w2_0.3_level_2_generic.json,0.08,3.395,0.94,0.195
weighted_w1_0.7_w2_0.3_level_3_generic.json,0.055,2.915,0.97,0.17
weighted_w1_0.7_w2_0.3_level_4_generic.json,0.13,2.4,0.98,0.19
weighted_w1_0.7_w2_0.3_level_5_generic.json,0.0775,1.845,0.985,0.13
weighted_w1_0.7_w2_0.3_level_6_generic.json,0.0775,3.79,0.955,0.205
weighted_w1_0.7_w2_0.3_level_7_generic.json,0.0725,2.235,0.98,0.21
weighted_w1_0.7_w2_0.3_level_8_generic.json,0.08,1.705,0.985,0.2
weighted_w1_0.7_w2_0.3_level_9_generic.json,0.1225,1.755,0.97,0.235
,,,,
weighted_w1_0.8_w2_0.2_level_0_generic.json,0.1125,1.15,0.995,0.09
weighted_w1_0.8_w2_0.2_level_1_generic.json,0.0925,1.485,0.995,0.19
weighted_w1_0.8_w2_0.2_level_2_generic.json,0.1125,1.775,0.99,0.185
weighted_w1_0.8_w2_0.2_level_3_generic.json,0.13,2.415,0.985,0.185
weighted_w1_0.8_w2_0.2_level_4_generic.json,0.0575,3.25,0.915,0.275
weighted_w1_0.8_w2_0.2_level_5_generic.json,0.115,1.82,0.96,0.245
weighted_w1_0.8_w2_0.2_level_6_generic.json,0.0675,1.69,0.975,0.195
weighted_w1_0.8_w2_0.2_level_7_generic.json,0.06,2.02,0.945,0.21
weighted_w1_0.8_w2_0.2_level_8_generic.json,0.0975,1.9,0.98,0.15
weighted_w1_0.8_w2_0.2_level_9_generic.json,0.0775,1.79,0.955,0.22
,,,,
weighted_w1_0.9_w2_0.1_level_0_generic.json,0.105,1.735,0.985,0.13
weighted_w1_0.9_w2_0.1_level_1_generic.json,0.1575,1.475,1,0.18
weighted_w1_0.9_w2_0.1_level_2_generic.json,0.09,1.245,1,0.155
weighted_w1_0.9_w2_0.1_level_3_generic.json,0.0775,1.44,0.955,0.105
weighted_w1_0.9_w2_0.1_level_4_generic.json,0.04,1.475,0.99,0.11
weighted_w1_0.9_w2_0.1_level_5_generic.json,0.095,1.345,0.975,0.165
weighted_w1_0.9_w2_0.1_level_6_generic.json,0.1025,1.32,0.985,0.15
weighted_w1_0.9_w2_0.1_level_7_generic.json,0.125,1.865,0.965,0.165
weighted_w1_0.9_w2_0.1_level_8_generic.json,0.11,1.48,0.975,0.19
weighted_w1_0.9_w2_0.1_level_9_generic.json,0.115,1.88,0.95,0.215
