Level,Leniency,Density,PD,PV
weighted_w1_0.1_w2_0.9_level_0_generic_shuffled.json.json,0.0875,3.18,0.97,0.275
weighted_w1_0.1_w2_0.9_level_1_generic_shuffled.json.json,0.1025,2.745,0.91,0.26
weighted_w1_0.1_w2_0.9_level_2_generic_shuffled.json.json,0.07,3.705,0.93,0.24
weighted_w1_0.1_w2_0.9_level_3_generic_shuffled.json.json,0.0725,2.73,0.94,0.245
weighted_w1_0.1_w2_0.9_level_4_generic_shuffled.json.json,0.1025,3.09,0.925,0.225
weighted_w1_0.1_w2_0.9_level_5_generic_shuffled.json.json,0.115,2.735,0.935,0.22
weighted_w1_0.1_w2_0.9_level_6_generic_shuffled.json.json,0.0575,3.745,0.935,0.24
weighted_w1_0.1_w2_0.9_level_7_generic_shuffled.json.json,0.05,4.115,0.93,0.255
weighted_w1_0.1_w2_0.9_level_8_generic_shuffled.json.json,0.1125,2.465,0.915,0.22
weighted_w1_0.1_w2_0.9_level_9_generic_shuffled.json.json,0.1425,3.545,0.88,0.245
,,,,
weighted_w1_0.2_w2_0.8_level_0_generic_shuffled.json.json,0.09,3.145,0.935,0.24
weighted_w1_0.2_w2_0.8_level_1_generic_shuffled.json.json,0.0625,4.205,0.95,0.28
weighted_w1_0.2_w2_0.8_level_2_generic_shuffled.json.json,0.1425,2.535,0.94,0.245
weighted_w1_0.2_w2_0.8_level_3_generic_shuffled.json.json,0.1075,2.875,0.96,0.27
weighted_w1_0.2_w2_0.8_level_4_generic_shuffled.json.json,0.1025,2.225,0.97,0.175
weighted_w1_0.2_w2_0.8_level_5_generic_shuffled.json.json,0.0725,3.255,0.89,0.25
weighted_w1_0.2_w2_0.8_level_6_generic_shuffled.json.json,0.0675,3.615,0.94,0.185
weighted_w1_0.2_w2_0.8_level_7_generic_shuffled.json.json,0.09,2.23,0.925,0.215
weighted_w1_0.2_w2_0.8_level_8_generic_shuffled.json.json,0.115,3.045,0.955,0.275
weighted_w1_0.2_w2_0.8_level_9_generic_shuffled.json.json,0.07,3.375,0.87,0.245
,,,,
weighted_w1_0.3_w2_0.7_level_0_generic_shuffled.json.json,0.09,2.32,0.935,0.215
weighted_w1_0.3_w2_0.7_level_1_generic_shuffled.json.json,0.095,3.005,0.875,0.215
weighted_w1_0.3_w2_0.7_level_2_generic_shuffled.json.json,0.1,2.97,0.89,0.23
