Level,Leniency,Density,PD,PV
level_0_generic_combined_seed_KI.json,0.1775,2.925,0.955,0.315
level_10_generic_combined_seed_KI.json,0.1725,1.53,0.935,0.235
level_11_generic_combined_seed_KI.json,0.215,1.99,0.95,0.27
level_12_generic_combined_seed_KI.json,0.2625,2.09,0.91,0.29
level_13_generic_combined_seed_KI.json,0.1575,2.685,0.865,0.285
level_14_generic_combined_seed_KI.json,0.16,2.055,0.915,0.31
level_15_generic_combined_seed_KI.json,0.21641791044776118,2.0497512437810945,0.9502487562189055,0.26865671641791045
level_16_generic_combined_seed_KI.json,0.1475,1.505,0.955,0.24
level_17_generic_combined_seed_KI.json,0.14,1.71,0.95,0.23
level_18_generic_combined_seed_KI.json,0.2125,1.59,0.91,0.255
level_19_generic_combined_seed_KI.json,0.235,1.02,0.94,0.245
level_1_generic_combined_seed_KI.json,0.1225,2.03,0.92,0.27
level_20_generic_combined_seed_KI.json,0.1375,2.42,0.895,0.335
level_21_generic_combined_seed_KI.json,0.2462686567164179,1.7114427860696517,0.9353233830845771,0.25870646766169153
level_22_generic_combined_seed_KI.json,0.16,1.905,0.89,0.305
level_23_generic_combined_seed_KI.json,0.19,1.435,0.84,0.23
level_24_generic_combined_seed_KI.json,0.2,1.985,0.885,0.265
level_25_generic_combined_seed_KI.json,0.1825,2.725,0.925,0.35
level_26_generic_combined_seed_KI.json,0.1875,1.275,0.92,0.225
level_27_generic_combined_seed_KI.json,0.0925,1.865,0.955,0.15
level_28_generic_combined_seed_KI.json,0.155,1.325,0.94,0.245
level_29_generic_combined_seed_KI.json,0.175,1.99,0.895,0.31
level_2_generic_combined_seed_KI.json,0.21,1.875,0.965,0.28
level_30_generic_combined_seed_KI.json,0.1625,3.015,0.925,0.31
level_31_generic_combined_seed_KI.json,0.105,2.175,0.96,0.265
level_32_generic_combined_seed_KI.json,0.1775,1.31,0.925,0.25
level_33_generic_combined_seed_KI.json,0.1775,1.33,0.92,0.24
level_34_generic_combined_seed_KI.json,0.15,2.57,0.965,0.365
level_35_generic_combined_seed_KI.json,0.215,1.81,0.825,0.305
level_36_generic_combined_seed_KI.json,0.2,1.655,0.905,0.245
level_37_generic_combined_seed_KI.json,0.1775,1.345,0.945,0.28
level_38_generic_combined_seed_KI.json,0.1875,2.32,0.875,0.305
level_39_generic_combined_seed_KI.json,0.1225,2.075,0.955,0.275
level_3_generic_combined_seed_KI.json,0.155,2.285,0.955,0.29
level_40_generic_combined_seed_KI.json,0.2025,2.31,0.96,0.27
level_41_generic_combined_seed_KI.json,0.23,1.33,0.975,0.265
level_42_generic_combined_seed_KI.json,0.24,1.77,0.94,0.335
level_43_generic_combined_seed_KI.json,0.23383084577114427,1.9950248756218905,0.8855721393034826,0.263681592039801
level_44_generic_combined_seed_KI.json,0.2075,2.135,0.95,0.285
level_45_generic_combined_seed_KI.json,0.1275,2.83,0.905,0.275
level_46_generic_combined_seed_KI.json,0.1775,1.97,0.96,0.335
level_47_generic_combined_seed_KI.json,0.125,1.93,0.975,0.205
level_48_generic_combined_seed_KI.json,0.1625,1.83,0.925,0.33
level_49_generic_combined_seed_KI.json,0.2175,2.285,0.94,0.32
level_4_generic_combined_seed_KI.json,0.12,3.19,0.91,0.32
level_50_generic_combined_seed_KI.json,0.1,2.415,0.97,0.25
level_51_generic_combined_seed_KI.json,0.195,2.095,0.945,0.295
level_52_generic_combined_seed_KI.json,0.2,1.815,0.935,0.275
level_53_generic_combined_seed_KI.json,0.225,1.46,0.915,0.235
level_54_generic_combined_seed_KI.json,0.16,2.955,0.87,0.28
level_55_generic_combined_seed_KI.json,0.13,2.955,0.94,0.24
level_56_generic_combined_seed_KI.json,0.1075,2.49,0.945,0.265
