Level,Leniency,Density,PD,PV
weighted_w1_0.5_w2_0.5_level_0_generic.json,0.11,3.645,0.925,0.295
weighted_w1_0.5_w2_0.5_level_10_generic.json,0.0825,2.32,0.985,0.185
weighted_w1_0.5_w2_0.5_level_11_generic.json,0.03,4.265,0.97,0.21
weighted_w1_0.5_w2_0.5_level_12_generic.json,0.0675,5.175,0.92,0.27
weighted_w1_0.5_w2_0.5_level_13_generic.json,0.095,2.69,0.865,0.17
weighted_w1_0.5_w2_0.5_level_14_generic.json,0.1,4.015,0.965,0.19
weighted_w1_0.5_w2_0.5_level_15_generic.json,0.0625,2.7,0.965,0.195
weighted_w1_0.5_w2_0.5_level_16_generic.json,0.0375,5.66,0.89,0.23
weighted_w1_0.5_w2_0.5_level_17_generic.json,0.0525,3.35,0.895,0.265
weighted_w1_0.5_w2_0.5_level_18_generic.json,0.085,3.39,0.99,0.26
weighted_w1_0.5_w2_0.5_level_19_generic.json,0.1025,3.685,0.945,0.27
weighted_w1_0.5_w2_0.5_level_1_generic.json,0.11,2.805,0.975,0.23
weighted_w1_0.5_w2_0.5_level_20_generic.json,0.08,4.495,0.92,0.25
weighted_w1_0.5_w2_0.5_level_21_generic.json,0.0775,2.875,0.98,0.305
weighted_w1_0.5_w2_0.5_level_22_generic.json,0.1325,3.345,0.905,0.285
weighted_w1_0.5_w2_0.5_level_23_generic.json,0.1125,3.14,0.93,0.255
weighted_w1_0.5_w2_0.5_level_24_generic.json,0.1025,2.88,0.975,0.27
weighted_w1_0.5_w2_0.5_level_25_generic.json,0.07,4.025,0.935,0.295
weighted_w1_0.5_w2_0.5_level_26_generic.json,0.0675,3.14,0.995,0.185
weighted_w1_0.5_w2_0.5_level_27_generic.json,0.0425,3.8,0.975,0.285
weighted_w1_0.5_w2_0.5_level_28_generic.json,0.0625,3.235,0.945,0.205
weighted_w1_0.5_w2_0.5_level_29_generic.json,0.1375,3.665,0.94,0.295
weighted_w1_0.5_w2_0.5_level_2_generic.json,0.1,3.975,0.92,0.27
weighted_w1_0.5_w2_0.5_level_30_generic.json,0.09,3.87,0.975,0.325
weighted_w1_0.5_w2_0.5_level_31_generic.json,0.0875,4.84,0.905,0.305
weighted_w1_0.5_w2_0.5_level_32_generic.json,0.09,4.485,0.945,0.27
weighted_w1_0.5_w2_0.5_level_33_generic.json,0.0875,3.485,0.925,0.285
weighted_w1_0.5_w2_0.5_level_34_generic.json,0.06,4.175,0.93,0.305
weighted_w1_0.5_w2_0.5_level_35_generic.json,0.06532663316582915,4.256281407035176,0.9296482412060302,0.27638190954773867
weighted_w1_0.5_w2_0.5_level_36_generic.json,0.06,4.78,0.93,0.32
weighted_w1_0.5_w2_0.5_level_37_generic.json,0.05,3.63,0.95,0.185
weighted_w1_0.5_w2_0.5_level_38_generic.json,0.035,4.445,0.955,0.26
weighted_w1_0.5_w2_0.5_level_39_generic.json,0.08,3.685,0.965,0.275
weighted_w1_0.5_w2_0.5_level_3_generic.json,0.055,4.11,0.915,0.27
weighted_w1_0.5_w2_0.5_level_40_generic.json,0.125,3.495,0.94,0.28
weighted_w1_0.5_w2_0.5_level_41_generic.json,0.095,3.355,0.91,0.245
weighted_w1_0.5_w2_0.5_level_42_generic.json,0.06,4.39,0.935,0.3
weighted_w1_0.5_w2_0.5_level_43_generic.json,0.08,3.035,0.97,0.2
weighted_w1_0.5_w2_0.5_level_44_generic.json,0.08,3.39,0.94,0.25
weighted_w1_0.5_w2_0.5_level_45_generic.json,0.1025,4.0,0.9,0.3
weighted_w1_0.5_w2_0.5_level_46_generic.json,0.0875,3.865,0.945,0.265
weighted_w1_0.5_w2_0.5_level_47_generic.json,0.105,4.34,0.905,0.225
weighted_w1_0.5_w2_0.5_level_48_generic.json,0.07,3.575,0.95,0.235
weighted_w1_0.5_w2_0.5_level_49_generic.json,0.055,3.61,0.95,0.225
weighted_w1_0.5_w2_0.5_level_4_generic.json,0.0875,4.22,0.935,0.235
weighted_w1_0.5_w2_0.5_level_50_generic.json,0.035,4.47,0.845,0.21
weighted_w1_0.5_w2_0.5_level_51_generic.json,0.085,3.4,0.97,0.275
weighted_w1_0.5_w2_0.5_level_52_generic.json,0.0825,3.445,0.945,0.25
weighted_w1_0.5_w2_0.5_level_53_generic.json,0.11,4.11,0.895,0.26
weighted_w1_0.5_w2_0.5_level_54_generic.json,0.09,2.72,0.94,0.225
weighted_w1_0.5_w2_0.5_level_55_generic.json,0.16,1.79,0.975,0.21
weighted_w1_0.5_w2_0.5_level_56_generic.json,0.1025,4.54,0.935,0.23
weighted_w1_0.5_w2_0.5_level_57_generic.json,0.0775,3.245,0.925,0.265
weighted_w1_0.5_w2_0.5_level_58_generic.json,0.1375,2.655,0.95,0.24
weighted_w1_0.5_w2_0.5_level_59_generic.json,0.1025,3.335,0.945,0.205
weighted_w1_0.5_w2_0.5_level_5_generic.json,0.085,4.14,0.935,0.305
weighted_w1_0.5_w2_0.5_level_60_generic.json,0.08,3.055,0.98,0.22
weighted_w1_0.5_w2_0.5_level_61_generic.json,0.0575,2.98,0.96,0.245
weighted_w1_0.5_w2_0.5_level_62_generic.json,0.145,2.985,0.93,0.3
weighted_w1_0.5_w2_0.5_level_63_generic.json,0.0775,3.53,0.89,0.26
weighted_w1_0.5_w2_0.5_level_64_generic.json,0.07,3.86,0.93,0.325
weighted_w1_0.5_w2_0.5_level_65_generic.json,0.1,2.75,0.94,0.23
weighted_w1_0.5_w2_0.5_level_66_generic.json,0.095,4.045,0.96,0.27
weighted_w1_0.5_w2_0.5_level_67_generic.json,0.08,2.92,0.895,0.18
weighted_w1_0.5_w2_0.5_level_68_generic.json,0.135,4.41,0.955,0.315
weighted_w1_0.5_w2_0.5_level_69_generic.json,0.08,2.88,0.965,0.195
weighted_w1_0.5_w2_0.5_level_6_generic.json,0.1,2.47,0.96,0.25
weighted_w1_0.5_w2_0.5_level_70_generic.json,0.0725,3.6,0.965,0.225
weighted_w1_0.5_w2_0.5_level_71_generic.json,0.035,2.265,0.995,0.13
weighted_w1_0.5_w2_0.5_level_72_generic.json,0.105,3.365,0.92,0.255
weighted_w1_0.5_w2_0.5_level_73_generic.json,0.0875,3.835,0.935,0.21
weighted_w1_0.5_w2_0.5_level_74_generic.json,0.0825,3.55,0.965,0.33
weighted_w1_0.5_w2_0.5_level_75_generic.json,0.0825,3.62,0.97,0.235
weighted_w1_0.5_w2_0.5_level_76_generic.json,0.0625,4.46,0.95,0.27
weighted_w1_0.5_w2_0.5_level_77_generic.json,0.1075,3.1,0.935,0.235
weighted_w1_0.5_w2_0.5_level_78_generic.json,0.085,4.37,0.94,0.31
weighted_w1_0.5_w2_0.5_level_79_generic.json,0.0725,3.745,0.895,0.235
weighted_w1_0.5_w2_0.5_level_7_generic.json,0.07,4.11,0.945,0.255
weighted_w1_0.5_w2_0.5_level_80_generic.json,0.055,3.68,0.945,0.24
weighted_w1_0.5_w2_0.5_level_81_generic.json,0.0975,2.41,0.96,0.215
weighted_w1_0.5_w2_0.5_level_82_generic.json,0.1125,3.31,0.935,0.275
weighted_w1_0.5_w2_0.5_level_83_generic.json,0.0525,3.54,0.8,0.23
weighted_w1_0.5_w2_0.5_level_84_generic.json,0.15,1.905,0.98,0.195
weighted_w1_0.5_w2_0.5_level_85_generic.json,0.0875,4.375,0.96,0.31
weighted_w1_0.5_w2_0.5_level_86_generic.json,0.1225,3.21,0.945,0.195
weighted_w1_0.5_w2_0.5_level_87_generic.json,0.12,3.66,0.945,0.335
weighted_w1_0.5_w2_0.5_level_88_generic.json,0.0675,4.14,0.97,0.305
weighted_w1_0.5_w2_0.5_level_89_generic.json,0.05,4.74,0.94,0.23
weighted_w1_0.5_w2_0.5_level_8_generic.json,0.1125,3.04,0.93,0.285
weighted_w1_0.5_w2_0.5_level_90_generic.json,0.0625,2.96,0.965,0.3
weighted_w1_0.5_w2_0.5_level_91_generic.json,0.0475,2.935,0.91,0.255
weighted_w1_0.5_w2_0.5_level_92_generic.json,0.0925,4.08,0.94,0.24
weighted_w1_0.5_w2_0.5_level_93_generic.json,0.105,3.725,0.925,0.2
weighted_w1_0.5_w2_0.5_level_94_generic.json,0.0775,4.075,0.91,0.295
weighted_w1_0.5_w2_0.5_level_95_generic.json,0.08,3.185,0.92,0.265
weighted_w1_0.5_w2_0.5_level_96_generic.json,0.135,3.565,0.935,0.23
weighted_w1_0.5_w2_0.5_level_97_generic.json,0.0975,3.905,0.875,0.265
weighted_w1_0.5_w2_0.5_level_98_generic.json,0.1075,3.215,0.87,0.215
weighted_w1_0.5_w2_0.5_level_99_generic.json,0.0975,2.57,0.935,0.225
weighted_w1_0.5_w2_0.5_level_9_generic.json,0.0975,3.42,0.935,0.29
