Level,Leniency,Density,PD,PV
weighted_w1_0.1_w2_0.9_level_0_generic_separated.json,0.08,3.045,0.95,0.255
weighted_w1_0.1_w2_0.9_level_1_generic_separated.json,0.115,3.545,0.955,0.26
weighted_w1_0.1_w2_0.9_level_2_generic_separated.json,0.0975,3.275,0.925,0.21
weighted_w1_0.1_w2_0.9_level_3_generic_separated.json,0.12,3.76,0.92,0.28
weighted_w1_0.1_w2_0.9_level_4_generic_separated.json,0.1025,2.37,0.955,0.295
weighted_w1_0.1_w2_0.9_level_5_generic_separated.json,0.1275,2.43,0.97,0.24
weighted_w1_0.1_w2_0.9_level_6_generic_separated.json,0.115,3.3,0.925,0.28
weighted_w1_0.1_w2_0.9_level_7_generic_separated.json,0.1025,3.475,0.96,0.285
weighted_w1_0.1_w2_0.9_level_8_generic_separated.json,0.1375,3.125,0.95,0.235
weighted_w1_0.1_w2_0.9_level_9_generic_separated.json,0.0675,3.82,0.92,0.215
,,,,
weighted_w1_0.2_w2_0.8_level_0_generic_separated.json,0.1175,2.37,0.94,0.275
weighted_w1_0.2_w2_0.8_level_1_generic_separated.json,0.0925,2.495,0.94,0.235
weighted_w1_0.2_w2_0.8_level_2_generic_separated.json,0.0925,2.06,0.965,0.25
weighted_w1_0.2_w2_0.8_level_3_generic_separated.json,0.09,2.715,0.955,0.275
weighted_w1_0.2_w2_0.8_level_4_generic_separated.json,0.1,2.6,0.955,0.215
weighted_w1_0.2_w2_0.8_level_5_generic_separated.json,0.0725,3.375,0.935,0.245
weighted_w1_0.2_w2_0.8_level_6_generic_separated.json,0.0975,2.79,0.945,0.315
weighted_w1_0.2_w2_0.8_level_7_generic_separated.json,0.1,2.675,0.975,0.22
weighted_w1_0.2_w2_0.8_level_8_generic_separated.json,0.085,3.315,0.97,0.28
weighted_w1_0.2_w2_0.8_level_9_generic_separated.json,0.11,2.785,0.955,0.265
,,,,
weighted_w1_0.3_w2_0.7_level_0_generic_separated.json,0.16,2.575,0.96,0.295
weighted_w1_0.3_w2_0.7_level_1_generic_separated.json,0.0925,2.605,0.95,0.275
weighted_w1_0.3_w2_0.7_level_2_generic_separated.json,0.095,3.1,0.97,0.26
weighted_w1_0.3_w2_0.7_level_3_generic_separated.json,0.115,1.62,0.96,0.21
weighted_w1_0.3_w2_0.7_level_4_generic_separated.json,0.12,3.27,0.95,0.29
weighted_w1_0.3_w2_0.7_level_5_generic_separated.json,0.1175,2.36,0.925,0.235
weighted_w1_0.3_w2_0.7_level_6_generic_separated.json,0.0875,2.295,0.955,0.3
weighted_w1_0.3_w2_0.7_level_7_generic_separated.json,0.085,3.975,0.93,0.25
weighted_w1_0.3_w2_0.7_level_8_generic_separated.json,0.0625,3.1,0.94,0.25
weighted_w1_0.3_w2_0.7_level_9_generic_separated.json,0.085,2.68,0.96,0.23
,,,,
weighted_w1_0.4_w2_0.6_level_0_generic_separated.json,0.11,3.205,0.975,0.23
weighted_w1_0.4_w2_0.6_level_1_generic_separated.json,0.11,2.2,0.975,0.22
weighted_w1_0.4_w2_0.6_level_2_generic_separated.json,0.11,2.305,0.96,0.23
weighted_w1_0.4_w2_0.6_level_3_generic_separated.json,0.105,4.09,0.94,0.265
