Level,Leniency,Density,PD,PV
weighted_w1_0.5_w2_0.5_level_0_generic_shuffled.json.json,0.0675,2.54,0.985,0.215
weighted_w1_0.5_w2_0.5_level_10_generic_shuffled.json.json,0.0875,3.06,0.985,0.225
weighted_w1_0.5_w2_0.5_level_11_generic_shuffled.json.json,0.0675,3.66,0.985,0.185
weighted_w1_0.5_w2_0.5_level_12_generic_shuffled.json.json,0.0575,3.805,0.96,0.215
weighted_w1_0.5_w2_0.5_level_13_generic_shuffled.json.json,0.07,2.55,0.975,0.175
weighted_w1_0.5_w2_0.5_level_14_generic_shuffled.json.json,0.0775,3.55,0.98,0.25
weighted_w1_0.5_w2_0.5_level_15_generic_shuffled.json.json,0.115,2.02,0.97,0.125
weighted_w1_0.5_w2_0.5_level_16_generic_shuffled.json.json,0.095,3.66,0.975,0.24
weighted_w1_0.5_w2_0.5_level_17_generic_shuffled.json.json,0.075,3.19,0.98,0.165
weighted_w1_0.5_w2_0.5_level_18_generic_shuffled.json.json,0.0725,4.1,0.96,0.235
weighted_w1_0.5_w2_0.5_level_19_generic_shuffled.json.json,0.115,2.63,1.0,0.215
weighted_w1_0.5_w2_0.5_level_1_generic_shuffled.json.json,0.0425,3.215,0.935,0.18
weighted_w1_0.5_w2_0.5_level_20_generic_shuffled.json.json,0.13,3.22,0.97,0.24
weighted_w1_0.5_w2_0.5_level_21_generic_shuffled.json.json,0.065,4.77,0.955,0.25
weighted_w1_0.5_w2_0.5_level_22_generic_shuffled.json.json,0.0725,2.98,0.985,0.2
weighted_w1_0.5_w2_0.5_level_23_generic_shuffled.json.json,0.055,3.24,1.0,0.16
weighted_w1_0.5_w2_0.5_level_24_generic_shuffled.json.json,0.08,3.035,0.995,0.165
weighted_w1_0.5_w2_0.5_level_25_generic_shuffled.json.json,0.05,4.46,0.975,0.255
weighted_w1_0.5_w2_0.5_level_26_generic_shuffled.json.json,0.1175,4.045,0.98,0.23
weighted_w1_0.5_w2_0.5_level_27_generic_shuffled.json.json,0.0375,6.38,0.965,0.19
weighted_w1_0.5_w2_0.5_level_28_generic_shuffled.json.json,0.04,4.525,0.98,0.16
weighted_w1_0.5_w2_0.5_level_29_generic_shuffled.json.json,0.075,3.34,0.975,0.2
weighted_w1_0.5_w2_0.5_level_2_generic_shuffled.json.json,0.0975,3.215,0.99,0.225
weighted_w1_0.5_w2_0.5_level_30_generic_shuffled.json.json,0.04,3.865,0.96,0.195
weighted_w1_0.5_w2_0.5_level_31_generic_shuffled.json.json,0.0875,2.67,0.97,0.165
weighted_w1_0.5_w2_0.5_level_32_generic_shuffled.json.json,0.115,2.935,0.985,0.24
weighted_w1_0.5_w2_0.5_level_33_generic_shuffled.json.json,0.11,3.325,0.995,0.19
weighted_w1_0.5_w2_0.5_level_34_generic_shuffled.json.json,0.0775,2.285,0.955,0.195
weighted_w1_0.5_w2_0.5_level_35_generic_shuffled.json.json,0.07,3.595,0.985,0.175
weighted_w1_0.5_w2_0.5_level_36_generic_shuffled.json.json,0.1025,1.71,0.935,0.13
weighted_w1_0.5_w2_0.5_level_37_generic_shuffled.json.json,0.0925,2.555,0.97,0.2
weighted_w1_0.5_w2_0.5_level_38_generic_shuffled.json.json,0.0875,3.99,0.925,0.235
weighted_w1_0.5_w2_0.5_level_39_generic_shuffled.json.json,0.0575,5.005,0.985,0.22
weighted_w1_0.5_w2_0.5_level_3_generic_shuffled.json.json,0.11,2.985,0.95,0.17
weighted_w1_0.5_w2_0.5_level_40_generic_shuffled.json.json,0.0825,4.57,0.97,0.2
weighted_w1_0.5_w2_0.5_level_41_generic_shuffled.json.json,0.0975,3.07,0.99,0.16
weighted_w1_0.5_w2_0.5_level_42_generic_shuffled.json.json,0.105,3.59,0.99,0.165
weighted_w1_0.5_w2_0.5_level_43_generic_shuffled.json.json,0.0275,3.285,0.99,0.18
weighted_w1_0.5_w2_0.5_level_44_generic_shuffled.json.json,0.065,3.08,0.98,0.17
weighted_w1_0.5_w2_0.5_level_45_generic_shuffled.json.json,0.055,4.215,0.97,0.22
weighted_w1_0.5_w2_0.5_level_46_generic_shuffled.json.json,0.0975,3.835,0.955,0.24
weighted_w1_0.5_w2_0.5_level_47_generic_shuffled.json.json,0.06,4.255,0.96,0.22
weighted_w1_0.5_w2_0.5_level_48_generic_shuffled.json.json,0.045,3.16,0.98,0.175
weighted_w1_0.5_w2_0.5_level_49_generic_shuffled.json.json,0.1,2.555,0.93,0.275
weighted_w1_0.5_w2_0.5_level_4_generic_shuffled.json.json,0.08,3.345,0.945,0.22
weighted_w1_0.5_w2_0.5_level_50_generic_shuffled.json.json,0.065,2.635,0.985,0.165
