Level,Leniency,Density,PD,PV
weighted_w1_0.5_w2_0.5_level_51_generic_shuffled.json.json,0.045,3.595,0.97,0.215
weighted_w1_0.5_w2_0.5_level_52_generic_shuffled.json.json,0.0825,2.85,0.99,0.21
weighted_w1_0.5_w2_0.5_level_53_generic_shuffled.json.json,0.055,4.46,0.99,0.225
weighted_w1_0.5_w2_0.5_level_54_generic_shuffled.json.json,0.085,2.625,0.935,0.195
weighted_w1_0.5_w2_0.5_level_55_generic_shuffled.json.json,0.065,3.27,0.995,0.18
weighted_w1_0.5_w2_0.5_level_56_generic_shuffled.json.json,0.045,4.055,0.965,0.155
weighted_w1_0.5_w2_0.5_level_57_generic_shuffled.json.json,0.055,3.98,0.91,0.235
weighted_w1_0.5_w2_0.5_level_58_generic_shuffled.json.json,0.0575,4.26,0.955,0.21
weighted_w1_0.5_w2_0.5_level_59_generic_shuffled.json.json,0.0775,4.005,0.98,0.23
weighted_w1_0.5_w2_0.5_level_5_generic_shuffled.json.json,0.06,3.605,0.99,0.155
weighted_w1_0.5_w2_0.5_level_60_generic_shuffled.json.json,0.09,3.735,0.98,0.185
weighted_w1_0.5_w2_0.5_level_61_generic_shuffled.json.json,0.055,2.52,0.985,0.185
weighted_w1_0.5_w2_0.5_level_62_generic_shuffled.json.json,0.1075,3.5,0.945,0.215
weighted_w1_0.5_w2_0.5_level_63_generic_shuffled.json.json,0.1075,2.515,0.955,0.195
weighted_w1_0.5_w2_0.5_level_64_generic_shuffled.json.json,0.08,3.96,0.98,0.21
weighted_w1_0.5_w2_0.5_level_65_generic_shuffled.json.json,0.04,4.255,0.97,0.14
weighted_w1_0.5_w2_0.5_level_66_generic_shuffled.json.json,0.04,3.145,0.94,0.19
weighted_w1_0.5_w2_0.5_level_67_generic_shuffled.json.json,0.03,3.79,0.995,0.205
weighted_w1_0.5_w2_0.5_level_68_generic_shuffled.json.json,0.1025,3.755,0.98,0.205
weighted_w1_0.5_w2_0.5_level_69_generic_shuffled.json.json,0.06,4.75,0.995,0.215
weighted_w1_0.5_w2_0.5_level_6_generic_shuffled.json.json,0.0625,4.0,0.95,0.205
weighted_w1_0.5_w2_0.5_level_70_generic_shuffled.json.json,0.06,4.625,0.94,0.205
weighted_w1_0.5_w2_0.5_level_71_generic_shuffled.json.json,0.0725,3.145,0.995,0.18
weighted_w1_0.5_w2_0.5_level_72_generic_shuffled.json.json,0.0725,4.01,0.96,0.205
weighted_w1_0.5_w2_0.5_level_73_generic_shuffled.json.json,0.08,3.815,0.965,0.175
weighted_w1_0.5_w2_0.5_level_74_generic_shuffled.json.json,0.05,3.595,0.975,0.27
weighted_w1_0.5_w2_0.5_level_75_generic_shuffled.json.json,0.075,4.045,0.95,0.235
weighted_w1_0.5_w2_0.5_level_76_generic_shuffled.json.json,0.0675,2.845,0.975,0.145
weighted_w1_0.5_w2_0.5_level_77_generic_shuffled.json.json,0.0925,1.86,0.97,0.18
weighted_w1_0.5_w2_0.5_level_78_generic_shuffled.json.json,0.0725,2.64,0.97,0.15
weighted_w1_0.5_w2_0.5_level_79_generic_shuffled.json.json,0.0925,2.44,0.99,0.155
weighted_w1_0.5_w2_0.5_level_7_generic_shuffled.json.json,0.06,3.23,0.995,0.185
weighted_w1_0.5_w2_0.5_level_80_generic_shuffled.json.json,0.0825,1.275,0.985,0.105
weighted_w1_0.5_w2_0.5_level_81_generic_shuffled.json.json,0.09,2.915,0.99,0.185
weighted_w1_0.5_w2_0.5_level_82_generic_shuffled.json.json,0.05,4.0,0.935,0.21
weighted_w1_0.5_w2_0.5_level_83_generic_shuffled.json.json,0.0625,4.24,0.975,0.215
weighted_w1_0.5_w2_0.5_level_84_generic_shuffled.json.json,0.08,3.045,1.0,0.2
weighted_w1_0.5_w2_0.5_level_85_generic_shuffled.json.json,0.0425,6.275,0.98,0.255
weighted_w1_0.5_w2_0.5_level_86_generic_shuffled.json.json,0.095,3.53,0.975,0.19
weighted_w1_0.5_w2_0.5_level_87_generic_shuffled.json.json,0.11,3.55,0.96,0.205
weighted_w1_0.5_w2_0.5_level_88_generic_shuffled.json.json,0.07,3.005,0.97,0.15
weighted_w1_0.5_w2_0.5_level_89_generic_shuffled.json.json,0.0725,3.555,0.975,0.17
weighted_w1_0.5_w2_0.5_level_8_generic_shuffled.json.json,0.0775,3.335,0.97,0.245
weighted_w1_0.5_w2_0.5_level_90_generic_shuffled.json.json,0.08,4.345,0.96,0.2
weighted_w1_0.5_w2_0.5_level_91_generic_shuffled.json.json,0.0525,3.325,0.945,0.225
weighted_w1_0.5_w2_0.5_level_92_generic_shuffled.json.json,0.0825,2.66,0.99,0.18
weighted_w1_0.5_w2_0.5_level_93_generic_shuffled.json.json,0.1075,3.605,0.97,0.23
weighted_w1_0.5_w2_0.5_level_94_generic_shuffled.json.json,0.0825,4.03,0.945,0.24
weighted_w1_0.5_w2_0.5_level_95_generic_shuffled.json.json,0.045,2.155,0.985,0.14
weighted_w1_0.5_w2_0.5_level_96_generic_shuffled.json.json,0.0825,4.85,0.96,0.225
weighted_w1_0.5_w2_0.5_level_97_generic_shuffled.json.json,0.0825,3.94,0.96,0.215
weighted_w1_0.5_w2_0.5_level_98_generic_shuffled.json.json,0.1,3.415,0.97,0.24
weighted_w1_0.5_w2_0.5_level_99_generic_shuffled.json.json,0.08,4.085,0.955,0.2
weighted_w1_0.5_w2_0.5_level_9_generic_shuffled.json.json,0.0775,2.8,0.99,0.205
