Level,Leniency,Density,PD,PV
level_73_generic_combined.json,0.21641791,1.800995025,0.860696517,0.268656716
level_74_generic_combined.json,0.135,1.98,0.97,0.135
level_75_generic_combined.json,0.175,1.145,0.94,0.24
level_76_generic_combined.json,0.1175,2.075,0.9,0.27
level_77_generic_combined.json,0.2125,0.98,0.97,0.22
level_78_generic_combined.json,0.15,1.705,0.955,0.23
level_79_generic_combined.json,0.18,1.735,0.96,0.22
level_7_generic_combined.json,0.14,2.36,0.935,0.22
level_80_generic_combined.json,0.2025,1.87,0.97,0.28
level_81_generic_combined.json,0.225,1.3,0.985,0.21
level_82_generic_combined.json,0.105,2.755,0.95,0.18
level_83_generic_combined.json,0.17,2.08,0.955,0.255
level_84_generic_combined.json,0.1425,1.69,0.965,0.22
level_85_generic_combined.json,0.1175,1.615,0.975,0.16
level_86_generic_combined.json,0.095,2.305,0.86,0.29
level_87_generic_combined.json,0.1625,2.295,0.895,0.195
level_88_generic_combined.json,0.2075,1.13,0.915,0.245
level_89_generic_combined.json,0.12,2.07,0.94,0.315
level_8_generic_combined.json,0.095,1.33,0.96,0.155
level_90_generic_combined.json,0.2475,1.19,0.905,0.255
level_91_generic_combined.json,0.15,1.865,0.84,0.225
level_92_generic_combined.json,0.19,1.64,0.965,0.255
level_93_generic_combined.json,0.2125,1.585,0.96,0.215
level_94_generic_combined.json,0.1575,1.035,0.95,0.16
level_95_generic_combined.json,0.1625,0.875,0.94,0.175
level_96_generic_combined.json,0.18,1.975,0.975,0.225
level_97_generic_combined.json,0.14,1.485,0.915,0.14
level_98_generic_combined.json,0.125,1.265,0.97,0.225
level_99_generic_combined.json,0.0875,1.855,0.925,0.26
level_9_generic_combined.json,0.1525,1.56,0.945,0.27
