Level,Leniency,Density,PD,PV
level_0_generic_combined.json,0.11,2.99,0.905,0.33
level_10_generic_combined.json,0.0625,2.22,0.705,0.205
level_11_generic_combined.json,0.1775,3.905,0.88,0.285
level_12_generic_combined.json,0.1425,1.67,0.87,0.23
level_13_generic_combined.json,0.205,1.335,0.895,0.25
level_14_generic_combined.json,0.23,1.005,0.935,0.21
level_15_generic_combined.json,0.135,1.395,0.92,0.21
level_16_generic_combined.json,0.145,1.105,0.915,0.2
level_17_generic_combined.json,0.16,0.915,0.86,0.165
level_18_generic_combined.json,0.115,1.765,0.91,0.09
level_19_generic_combined.json,0.165,1.52,0.975,0.235
level_1_generic_combined.json,0.125,1.5,0.85,0.195
level_20_generic_combined.json,0.125,2.84,0.8,0.285
level_21_generic_combined.json,0.205,1.04,0.97,0.205
level_22_generic_combined.json,0.1275,1.505,0.985,0.195
level_23_generic_combined.json,0.1875,0.87,0.91,0.215
level_24_generic_combined.json,0.1675,2.93,0.905,0.38
level_25_generic_combined.json,0.125,1.55,0.95,0.205
level_26_generic_combined.json,0.145,2.975,0.925,0.375
level_27_generic_combined.json,0.23,1.62,0.97,0.24
level_28_generic_combined.json,0.1325,2.005,0.995,0.285
level_29_generic_combined.json,0.1775,1.24,0.95,0.25
level_2_generic_combined.json,0.1175,1.555,0.965,0.175
level_30_generic_combined.json,0.2075,1.78,0.925,0.295
level_31_generic_combined.json,0.1575,0.92,0.97,0.19
level_32_generic_combined.json,0.1275,2.98,0.885,0.275
level_33_generic_combined.json,0.1575,2.435,0.895,0.27
level_34_generic_combined.json,0.1075,1.51,0.98,0.175
level_35_generic_combined.json,0.1125,1.83,0.8,0.225
level_36_generic_combined.json,0.1125,0.975,0.845,0.13
level_37_generic_combined.json,0.14,1.145,0.95,0.145
level_38_generic_combined.json,0.16,2.1,0.925,0.27
level_39_generic_combined.json,0.1225,0.915,0.94,0.16
level_3_generic_combined.json,0.2325,0.975,0.95,0.25
level_40_generic_combined.json,0.1575,1.965,0.915,0.235
level_41_generic_combined.json,0.17,1.32,0.915,0.24
level_42_generic_combined.json,0.165,1.68,0.875,0.27
level_43_generic_combined.json,0.1525,1.43,0.94,0.195
level_44_generic_combined.json,0.205,1.545,0.92,0.225
level_45_generic_combined.json,0.115,3.1,0.96,0.17
level_46_generic_combined.json,0.18,1.645,0.97,0.26
level_47_generic_combined.json,0.2125,1.405,0.97,0.27
level_48_generic_combined.json,0.16,2.08,0.875,0.27
level_49_generic_combined.json,0.2125,1.225,0.915,0.23
level_4_generic_combined.json,0.105,2.18,0.97,0.245
level_50_generic_combined.json,0.1675,1.66,0.92,0.255
level_51_generic_combined.json,0.1925,1.36,0.94,0.23
level_52_generic_combined.json,0.155,2.055,0.93,0.275
level_53_generic_combined.json,0.225,0.995,0.94,0.275
level_54_generic_combined.json,0.245,1.21,0.89,0.235
level_55_generic_combined.json,0.2375,1.08,0.925,0.26
level_56_generic_combined.json,0.1275,1.99,0.985,0.275
level_57_generic_combined.json,0.2275,1.155,0.955,0.235
level_58_generic_combined.json,0.125,2.38,0.965,0.295
level_59_generic_combined.json,0.1125,2.99,0.915,0.17
level_5_generic_combined.json,0.1175,1.62,0.96,0.14
level_60_generic_combined.json,0.2125,1.355,0.935,0.275
level_61_generic_combined.json,0.2075,1.85,0.95,0.305
level_62_generic_combined.json,0.1675,2.385,0.885,0.245
level_63_generic_combined.json,0.085,1.485,0.975,0.165
level_64_generic_combined.json,0.19,1.665,0.935,0.28
level_65_generic_combined.json,0.1725,1.275,0.875,0.26
level_66_generic_combined.json,0.1625,1.775,0.945,0.225
level_67_generic_combined.json,0.095,2.5,0.9,0.3
level_68_generic_combined.json,0.28358209,0.805970149,0.940298507,0.228855721
level_69_generic_combined.json,0.18,2.745,0.96,0.335
level_6_generic_combined.json,0.1275,2.185,0.96,0.15
level_70_generic_combined.json,0.1925,0.95,0.985,0.2
level_71_generic_combined.json,0.175,2.375,0.95,0.28
level_72_generic_combined.json,0.2925,0.565,0.96,0.205
