Level,Leniency,Density,PD,PV
level_0_generic_combined_seed_SMB_shuffled.json,0.0725,1.39,0.95,0.145
level_10_generic_combined_seed_SMB_shuffled.json,0.1025,2.66,0.92,0.19
level_11_generic_combined_seed_SMB_shuffled.json,0.1425,2.02,0.98,0.145
level_12_generic_combined_seed_SMB_shuffled.json,0.15,1.5,0.965,0.2
level_13_generic_combined_seed_SMB_shuffled.json,0.08,1.195,0.985,0.12
level_14_generic_combined_seed_SMB_shuffled.json,0.0775,3.055,0.94,0.1
level_15_generic_combined_seed_SMB_shuffled.json,0.05,4.115,0.975,0.085
level_16_generic_combined_seed_SMB_shuffled.json,0.13,1.015,0.965,0.18
level_17_generic_combined_seed_SMB_shuffled.json,0.1225,1.785,0.955,0.14
level_18_generic_combined_seed_SMB_shuffled.json,0.15,1.165,0.98,0.175
level_19_generic_combined_seed_SMB_shuffled.json,0.115,1.65,0.965,0.115
level_1_generic_combined_seed_SMB_shuffled.json,0.1575,1.47,0.975,0.155
level_20_generic_combined_seed_SMB_shuffled.json,0.09,1.995,0.97,0.16
level_21_generic_combined_seed_SMB_shuffled.json,0.075,1.265,0.99,0.095
level_22_generic_combined_seed_SMB_shuffled.json,0.1225,1.895,0.93,0.22
level_23_generic_combined_seed_SMB_shuffled.json,0.115,2.6,0.91,0.24
level_24_generic_combined_seed_SMB_shuffled.json,0.14,1.07,0.975,0.175
level_25_generic_combined_seed_SMB_shuffled.json,0.1,1.865,0.985,0.2
level_26_generic_combined_seed_SMB_shuffled.json,0.1125,1.045,0.98,0.15
level_27_generic_combined_seed_SMB_shuffled.json,0.1025,5.31,0.98,0.13
level_28_generic_combined_seed_SMB_shuffled.json,0.1725,1.135,0.945,0.19
level_29_generic_combined_seed_SMB_shuffled.json,0.095,1.125,0.99,0.09
level_2_generic_combined_seed_SMB_shuffled.json,0.1425,3.31,0.95,0.29
level_30_generic_combined_seed_SMB_shuffled.json,0.065,5.925,0.98,0.15
level_31_generic_combined_seed_SMB_shuffled.json,0.095,1.21,0.98,0.12
level_32_generic_combined_seed_SMB_shuffled.json,0.06,1.255,0.98,0.07
level_33_generic_combined_seed_SMB_shuffled.json,0.0925,2.53,0.985,0.145
level_34_generic_combined_seed_SMB_shuffled.json,0.2025,1.49,0.945,0.2
level_35_generic_combined_seed_SMB_shuffled.json,0.09,4.34,0.97,0.16
level_36_generic_combined_seed_SMB_shuffled.json,0.0925,1.78,0.945,0.2
level_37_generic_combined_seed_SMB_shuffled.json,0.115,1.915,0.885,0.18
