Level,Leniency,Density,PD,PV
level_0_generic_combined_seed_KI_shuffled.json,0.17,2.06,0.95,0.28
level_10_generic_combined_seed_KI_shuffled.json,0.135,1.305,0.98,0.17
level_11_generic_combined_seed_KI_shuffled.json,0.2,1.12,0.945,0.25
level_12_generic_combined_seed_KI_shuffled.json,0.035,7.775,0.995,0.07
level_13_generic_combined_seed_KI_shuffled.json,0.11,5.56,0.955,0.24
level_14_generic_combined_seed_KI_shuffled.json,0.1,4.795,0.94,0.285
level_15_generic_combined_seed_KI_shuffled.json,0.1175,1.37,0.985,0.11
level_16_generic_combined_seed_KI_shuffled.json,0.19,1.905,0.945,0.26
level_17_generic_combined_seed_KI_shuffled.json,0.0,7.975,0.995,0.05
level_18_generic_combined_seed_KI_shuffled.json,0.0775,2.545,0.92,0.175
level_19_generic_combined_seed_KI_shuffled.json,0.02,7.395,0.98,0.12
level_1_generic_combined_seed_KI_shuffled.json,0.1025,1.6,0.965,0.195
level_20_generic_combined_seed_KI_shuffled.json,0.005,7.895,0.98,0.06
level_21_generic_combined_seed_KI_shuffled.json,0.14,1.29,0.975,0.195
level_22_generic_combined_seed_KI_shuffled.json,0.105,2.33,0.935,0.27
level_23_generic_combined_seed_KI_shuffled.json,0.1575,1.805,0.97,0.225
level_24_generic_combined_seed_KI_shuffled.json,0.0175,7.505,0.96,0.115
level_25_generic_combined_seed_KI_shuffled.json,0.1175,2.915,0.935,0.23
level_26_generic_combined_seed_KI_shuffled.json,0.175,4.42,0.95,0.23
level_27_generic_combined_seed_KI_shuffled.json,0.1275,2.105,0.92,0.29
level_28_generic_combined_seed_KI_shuffled.json,0.125,2.245,0.92,0.315
level_29_generic_combined_seed_KI_shuffled.json,0.0975,1.465,0.985,0.145
level_2_generic_combined_seed_KI_shuffled.json,0.1025,1.76,0.98,0.175
level_30_generic_combined_seed_KI_shuffled.json,0.0925,3.445,0.95,0.22
level_31_generic_combined_seed_KI_shuffled.json,0.1225,3.19,0.945,0.25
level_32_generic_combined_seed_KI_shuffled.json,0.0825,2.47,0.975,0.205
level_33_generic_combined_seed_KI_shuffled.json,0.085,2.12,0.985,0.18
level_34_generic_combined_seed_KI_shuffled.json,0.0675,1.605,0.985,0.13
level_35_generic_combined_seed_KI_shuffled.json,0.0625,2.535,0.955,0.265
level_36_generic_combined_seed_KI_shuffled.json,0.05,1.465,0.99,0.125
level_37_generic_combined_seed_KI_shuffled.json,0.0,7.75,0.99,0.08
level_38_generic_combined_seed_KI_shuffled.json,0.105,1.55,0.95,0.19
level_39_generic_combined_seed_KI_shuffled.json,0.23,2.565,0.965,0.265
level_3_generic_combined_seed_KI_shuffled.json,0.0775,1.605,0.95,0.145
level_40_generic_combined_seed_KI_shuffled.json,0.0875,2.63,0.955,0.2
level_41_generic_combined_seed_KI_shuffled.json,0.1775,1.52,0.96,0.22
level_42_generic_combined_seed_KI_shuffled.json,0.1125,2.255,0.915,0.23
level_43_generic_combined_seed_KI_shuffled.json,0.0825,4.58,0.96,0.175
level_44_generic_combined_seed_KI_shuffled.json,0.0675,2.49,0.98,0.15
level_45_generic_combined_seed_KI_shuffled.json,0.12,1.205,0.985,0.145
level_46_generic_combined_seed_KI_shuffled.json,0.01,8.025,0.98,0.02
level_47_generic_combined_seed_KI_shuffled.json,0.01,8.015,0.98,0.05
level_48_generic_combined_seed_KI_shuffled.json,0.0825,2.07,0.995,0.155
level_49_generic_combined_seed_KI_shuffled.json,0.14,2.195,0.945,0.195
level_4_generic_combined_seed_KI_shuffled.json,0.09,1.87,0.895,0.195
level_50_generic_combined_seed_KI_shuffled.json,0.085,1.435,0.985,0.145
level_51_generic_combined_seed_KI_shuffled.json,0.035,7.37,0.96,0.075
level_52_generic_combined_seed_KI_shuffled.json,0.115,2.085,0.91,0.185
level_53_generic_combined_seed_KI_shuffled.json,0.195,1.355,0.975,0.215
level_54_generic_combined_seed_KI_shuffled.json,0.0,7.58,0.955,0.17
level_55_generic_combined_seed_KI_shuffled.json,0.05,6.67,0.945,0.115
level_56_generic_combined_seed_KI_shuffled.json,0.02,7.865,0.965,0.07
level_57_generic_combined_seed_KI_shuffled.json,0.1125,2.03,0.985,0.175
level_58_generic_combined_seed_KI_shuffled.json,0.01,7.87,0.97,0.035
level_59_generic_combined_seed_KI_shuffled.json,0.145,1.955,0.93,0.165
level_5_generic_combined_seed_KI_shuffled.json,0.0,7.985,0.985,0.045
level_60_generic_combined_seed_KI_shuffled.json,0.1325,1.22,0.945,0.185
